Data,Zamkniecie,Change,Gain
2017-01-24,53988.51,1.010543900631163,1
2017-01-25,55484.56,1.0277105258137333,1
2017-01-26,55560.23,1.0013638028309138,1
2017-01-27,55657.7,1.0017543123921553,1
2017-01-30,55060.44,0.9892690499248084,0
2017-01-31,55232.32,1.0031216604880018,1
2017-02-01,55651.75,1.0075939232681155,1
2017-02-02,55303.11,0.9937353272808133,0
2017-02-03,55408.23,1.001900797260769,1
2017-02-06,55654.52,1.0044450075376887,1
2017-02-07,55617.09,0.999327458039347,0
2017-02-08,55642.64,1.0004593911691533,1
2017-02-09,56785.52,1.020539643697711,1
2017-02-10,57385.03,1.010557444926101,1
2017-02-13,57857.85,1.0082394310850757,1
2017-02-14,57728.1,0.9977574348165374,0
2017-02-15,57899.25,1.002964760662485,1
2017-02-16,58610.28,1.012280469954274,1
2017-02-17,57972.68,0.9891213623275644,0
2017-02-20,58120.83,1.0025555140800806,1
2017-02-21,59331.91,1.0208372798530234,1
2017-02-22,59451.12,1.0020092055017276,1
2017-02-23,59583.89,1.0022332632253186,1
2017-02-24,58657.32,0.9844493201098485,0
2017-02-27,58681.67,1.0004151229548162,1
2017-02-28,58300.37,0.9935022299126798,0
2017-03-01,59646.29,1.0230859598318158,1
2017-03-02,59743.64,1.0016321216290234,1
2017-03-03,59313.38,0.9927982292341075,0
2017-03-06,58995.74,0.9946447159140147,0
2017-03-07,58530.07,0.9921067182138914,0
2017-03-08,58559.14,1.0004966677811935,1
2017-03-09,57986.6,0.9902228755408634,0
2017-03-10,58316.11,1.005682519754564,1
2017-03-13,59322.58,1.0172588672323994,1
2017-03-14,59301.32,0.9996416204419969,0
2017-03-15,59109.17,0.9967597685852524,0
2017-03-16,60247.18,1.0192526810983813,1
2017-03-17,60440.57,1.0032099427724253,1
2017-03-20,60151.62,0.9952192707646537,0
2017-03-21,59452.75,0.9883815265490771,0
2017-03-22,58749.94,0.9881786797078352,0
2017-03-23,59093.68,1.005850899592408,1
2017-03-24,59069.56,0.9995918345244365,0
2017-03-27,58338.9,0.9876305156158266,0
2017-03-28,58938.76,1.0102823330573596,1
2017-03-29,58709.72,0.9961139324953562,0
2017-03-30,58527.2,0.9968911451119167,0
2017-03-31,57911.31,0.9894768586229993,0
2017-04-03,58636.31,1.0125191434971856,1
2017-04-04,59015.12,1.006460331490846,1
2017-04-05,59369.66,1.0060076129642708,1
2017-04-06,59406.36,1.0006181608585933,1
2017-04-07,59287.92,0.998006274075705,0
2017-04-10,59112.38,0.9970391944935831,0
2017-04-11,58510.03,0.9898100871594072,0
2017-04-12,58377.92,0.9977420965260144,0
2017-04-13,58695.36,1.0054376723254272,1
2017-04-18,58762.99,1.0011522205503127,1
2017-04-19,59515.17,1.012800233616431,1
2017-04-20,59700.07,1.0031067709291597,1
2017-04-21,59285.57,0.9930569595647041,0
2017-04-24,60061.41,1.0130864896803726,1
2017-04-25,61182.78,1.01867039085496,1
2017-04-26,61699.64,1.008447801816132,1
2017-04-27,61731.8,1.0005212348078532,1
