Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-09-18,51375.3,51880.22,50966.57,51303.79,335302072
2015-09-25,51345.07,51592.2,49471.07,49935.09,270105477
2015-10-02,49888.37,50073.74,48612.63,49275.66,252719964
2015-10-09,49568.13,51749.79,49516.62,51710.74,317404150
2015-10-16,51837.74,51909.32,50971.94,51391.65,292751525
2015-10-23,51381.67,51594.67,50919.24,51157.09,238579137
2015-10-30,50787.47,51433.35,49992.51,50271.65,226644452
2015-11-06,50320.78,50776.76,49544.32,49599.29,239098246
2015-11-13,49671.72,49786.8,48656.31,48697.1,200501273
2015-11-20,48448.78,49533.78,48252.45,49434.43,257421931
2015-11-27,49219,49219,47603.61,47996.8,256824886
2015-12-04,47976.54,48267.19,45349.68,46537.67,350387171
2015-12-11,46820.74,46984.87,44220.32,44220.32,474265140
2015-12-18,44294.52,46087.02,43724.52,45996.81,326920233
2015-12-25,45942.02,46649.73,45875.28,46564.08,126945320
2016-01-01,46493.65,47182.23,46386.72,46467.38,134280974
2016-01-08,45701.18,45701.18,43586.89,43770.51,188565257
2016-01-15,43671.6,44905.71,43239.85,43719.53,334110037
2016-01-22,43155.99,43392.12,41747.01,43039.42,361149750
2016-01-29,43286.11,44290.05,42711.67,44290.05,304817698
2016-02-05,44257.2,44906.53,43427.62,44671.66,285049367
2016-02-12,44646.14,44700.02,43230.24,43849.4,223183025
2016-02-19,44314.5,46278.94,43971.05,45455.8,327159356
2016-02-26,45841.77,46272.05,45108.5,45770.44,232951186
2016-03-04,45605.45,46562.2,44843.16,46400.67,309191175
2016-03-11,46467.99,47267.12,46229.69,47182.13,266666383
2016-03-18,47427.54,48228.56,46829.51,48211.45,377362520
2016-03-25,48029.37,48306.62,47353.41,47778.01,219117451
2016-04-01,47885.22,49017.35,47835.98,48506.46,221169631
2016-04-08,48535.72,48815.8,47025.11,47556.03,205683978
2016-04-15,47556.88,48333.52,47076.84,48095.43,194691873
2016-04-22,47793.92,48847.22,47700.97,48446.39,268409921
2016-04-29,48365.58,48423.27,47212.65,47641.99,244265476
2016-05-06,47681.11,47954.08,46228.42,46663.67,152918567
2016-05-13,46790.7,46861.92,45933.17,46063.67,184640726
2016-05-20,46463.09,47143.86,45549.91,45784.76,206100351
2016-05-27,45801.86,46852.3,45618.02,46634.55,145044129
2016-06-03,46658.48,46713.89,44499.31,45523.93,232554940
2016-06-10,45741.08,46693.34,45251.85,45348.2,167633758
2016-06-17,44965.76,45142.43,43828.13,44606.86,227109088
2016-06-24,45001.12,46826.85,42812.99,44773.75,236304424
2016-07-01,44662.18,45028.11,44045.53,44754.05,253238319
2016-07-08,44316.43,44422.31,43534.02,44024.66,190528037
2016-07-15,44490.94,45660.97,44490.94,45540.6,220374980
2016-07-22,45741.46,46639.17,45713.13,46541.69,169507480
2016-07-29,46781.98,47069.57,46104.84,46171.72,210477639
2016-08-05,46328.4,47634.1,46052.49,47604.22,305941545
2016-08-12,47701.25,48776.53,47701.25,48631.44,208140393
2016-08-19,48605.94,48646.21,47489.01,47536.72,177169106
2016-08-26,47513.29,47751.24,47220.32,47456.36,259326396
2016-09-02,47371.62,48123.6,47121.34,47405.71,238278341
2016-09-09,47494.31,48636.67,47304.12,47326.14,236341459
2016-09-16,46904.26,47294.31,46321.24,47166.67,219386907
2016-09-23,47345.25,48154.88,47266.99,47865.78,246289485
2016-09-30,47641.42,47644.51,46930.43,47084.94,230517367
2016-10-07,47169.38,48141.42,47106.19,47762.81,216156755
2016-10-14,47929.53,48147.94,47285.64,47285.64,209192498
2016-10-21,47260.82,48138.27,47184.85,47931.14,233131409
2016-10-28,48034.72,49070.85,48034.72,49070.85,224085571
2016-11-04,49024.6,49331.67,47564.61,47610.85,183985589
2016-11-11,48179.18,49129.58,47208.3,48447.59,185024889
2016-11-18,48626.04,48626.04,46674.28,46910.91,240587050
2016-11-25,47147.41,48942.71,47021.01,48579.08,231977617
2016-12-02,48602.54,48770.26,48049.4,48474.03,283068912
2016-12-09,48732.15,51125.97,48709.2,50693.75,313166331
2016-12-16,50779.39,51380.01,50247.69,51115.26,298504566
2016-12-23,50943.74,51699.67,50617.18,51295.58,222759993
2016-12-30,51314.38,51921.03,51127.38,51754.03,128882678
2017-01-06,51743.43,52842.55,51608.44,52721.67,172693931
2017-01-13,52783.13,53989.49,52594.43,53498.26,284834384
2017-01-20,53421.67,53865.85,53276.06,53573.28,243363430
2017-01-27,53502.33,55929.47,53389.9,55657.7,305953292
2017-02-03,55651.36,55854.57,55008.13,55408.23,220377564
2017-02-10,55456.89,57435.24,55359.11,57385.03,304292696
2017-02-17,57658.42,58736.23,57497.37,57972.68,391353231
2017-02-24,58168.72,59844.93,58001.32,58657.32,295586127
2017-03-03,58751.19,60021.25,58170.94,59313.38,389585865
2017-03-10,59277.34,59434.57,57558.86,58316.11,426726284
2017-03-17,58549.24,60631.65,58479.54,60440.57,395745787
2017-03-24,60413.36,60511.03,58313.36,59069.56,339606780
2017-03-31,58397.48,59375.3,57911.31,57911.31,281366307
2017-04-07,58258.3,59498.05,58166.29,59287.92,244640017
2017-04-14,59321.52,59388.02,58295.12,58695.36,193870870
2017-04-21,58939.48,59991.53,58694.68,59285.57,252134815
2017-04-28,59915.05,62039.43,59765.38,61644.56,380538434
2017-05-05,61932.93,62666.49,61227.82,61831.4,167013629
